web-scraper-order,USERNAME,RATING,REVIEW,TIME,COUNT THE PEOPLE WHO LIKED THE REVIEW
1743116909-916,RS,9.1,"Check-in was speeded up then the room was upgraded free but the rich room lights were made bright because at night there were so many mosquitoes. But so far it's good, breakfast is also delicious.",2020-02-23,1
1743116909-917,SP,8.8,"the air conditioner is hot, the view is lacking",2020-02-23,0
1743116909-918,DH,6.2,"The matter of facilities is very good. food is less varied, rich smell sheets are not replaced, the bathtub is initially jammed. But ask for correct and immediately justified. AC is not cold. and what surprised me the most. cleanliness is very severe. Dusty glass. Bathtub has hair. after bathing there I immediately got phlegm on my hand😭 and I had to get treatment. Please improve the cleanliness aspect. For the staff is rather indifferent but there is also a friendly. thanks.",2020-02-22,0
1743116909-919,Handrian P. A.,5.7,Slimy hotel! check-in door is broken. torn pillows. broken bathroom faucet. do you want a bath mat?,2020-02-20,2
1743116909-920,tr,8.7,"The sink is dirty, quite a lot of mosquitoes also in the room. The mattress is also not soft like in other hotels I have stayed. At the end of the bag already felt the wire when sitting. Maybe that's all that needs to be fixed. But there are enough bathtubs with that price.",2020-02-19,2
1743116909-921,F,6.3,"The room was good, the bathroom was spacious and there was a bath up, unfortunately the hotel slippers were missing, the cable TV channels were not clear, the room was cleaned instead of the TV remote so I had to ask again, and there were ants in the room.",2020-02-17,0
1743116909-922,CA,9.4,"Initially I was a deluxe suite type book. But without confirmation from the hotel, when I checked in my room was free to upgrade to a family suite. Because on the D day it turned out that deluxe was full. And before I could reschedule a few times check-in date. For facilities all okay, friendly service. Cleanliness is okay too. The location of the hotel is also close to public facilities. Very satisfied to stay here.",2020-02-13,2
1743116909-923,Shara A.,6.4,"The hotel is nice, spacious and has a big bathtub. Unfortunately the room facilities are not complete, only one pair of slippers are provided. Only 1 foam bath, toothbrush and only 1 toothpaste. Sugar is provided only 2 pc while coffee and tea are 2pc each. (There's no way we drink fresh tea and bitter coffee). 🤣 receptionis, house keeping is difficult when contacted via telephone. The shower also leaked and the most annoying was the AC was cold at all, even though the temperature was 16 and the fan was full. Breakfast menu is not much.",2020-02-09,3
1743116909-924,GUSTI A. K. D. I.,6.0,"I stayed here because of a spiritual program, Tangkil to the shining land temple. So it's very close to walking. It's just that in terms of parking there is no place. Only enough 3 cars are full. The rooms smell musty, the employees are all ignorant. So the price and quality do not match.",2020-02-08,2
1743116909-925,Hevienta G.,4.9,"I was very disappointed to stay at this place, take the child to go for a vacation, can eat and swim to your heart's content at breakfast, It turns out eating while swimming can not, order to eat at the pool also can not. Inak and only available after breakfast. The hotel rooms are soundproofed. The conditioners that I got inside the contents of the handbody🙈 are very sorry and disappointed.",2020-02-08,4
1743116909-926,hendi f.,8.5,"The room is comfortable, the toilet is spacious there is a nice breakfast menu, bathtub location is close to Kuta beach.",2020-02-08,3
1743116909-927,PM,8.5,"The room is really nice. So it's quite noisy because the pantry staff is preparing breakfast or other work, everything else, okay.",2020-02-07,2
1743116909-928,RM,4.5,"At first, I saw on the internet like a good place, it turns out the hotel is only cheap because of the bath-up, from the beginning came FO there was no such thing as a smile and greet by standing still sitting in the place, when answering like a different ""and not consistent, then fitting in. the air conditioner is not cold, the sink is dirty, and there is a small animal, the next day when I go ask for the make up room to be replaced with a bed sheet etc. it turns out it's just behind it without changing it, after that the minibar doesn't cool it says it will be changed until check out is not replaced please, when the breakfast is mostly empty food is not responsive in providing must wait until asked and better to gather in one area, when taking a dirty plate there is no polite word excuse me or ask if the meal is finished and just carry all that is on the table hemm severe, I stayed here 4 days and 3 nights when I last checked out I asked for a late check out with FO SUTINI but by the way the chairman is really no name bale inton good tone and strains of tone that don't allow us to Late Check OUT, finally our FOM''s name is ALVIN we ask to talk and give a nonsensical explanation for their reasons we can't late check out, haha really laughing anyway with the reason even though I also in the world of tourism, the reason many guests even though it was a weekday you know, and when I checked out it was quiet ""wrote. even if many of them do they come on time together. Maybe the service is more improved, from smiling, talking, giving service. even though the local hotel rules provide better services so that people ""prefer to stay at a local hotel rather than international. It turns out that in reality this is only natural local hotels are less desirable because of this attitude.",2020-02-06,6
1743116909-929,Riza R.,10.0,"Clean rooms, clean bathrooms, good food.",2020-02-05,1
1743116909-930,Yolanda A.,8.4,Breakfast is not all delicious. mostly salty. the menu is not varied. Not like before 2 years ago the food was delicious.,2020-02-03,1
1743116909-931,yudiah n. l.,6.0,"Bad food, stinky towels.",2020-02-02,0
1743116909-932,Mirna F.,6.3,"It is unfortunate that a 4-star class hotel but the service loses with a 3-star, especially for the security, there is no initiative, I want to check-out not at all helped to carry a suitcase even though the position of rain and my luggage is very much.",2020-02-01,5
1743116909-933,SM,8.5,"Pretty decent, according to my budget, I already get bathtup. Suggestions do not have a road view. Because in the corridor it is open so it is noisy in the streets.",2020-01-30,4
1743116909-934,E,10.0,The hotel is good with the price that much is very satisfying staying here feels at home does not want to go home it feels.,2020-01-29,0
1743116909-935,MS,9.4,"A pretty good hotel with a relatively cheap price. The facilities are okay. The breakfast is good, only 3 days breakfast here, the menu is the same, only the cooking method is different. the entire staff is friendly and fast moving.",2020-01-29,1
1743116909-936,KE,10.0,Awesome hotel. I love it. Friendly service and clean hotel. Very suitable for traveling or honeymoon. Really recommended and breakfast also varies. I will be back in this hotel.,2020-01-25,0
1743116909-937,TT,5.8,"The hotel is old, the shower head is clogged up, the bathtub is leaking, the balcony is dirty, the floor of the room is dirty, the slipper is used, the service is not friendly to local tourists, the foreigners smile, the breakfast is okay.",2020-01-25,1
1743116909-938,EW,8.8,"Worth it, cheap price, complete facilities, there is also a motorbike rental place.",2020-01-24,1
1743116909-939,Sri k. d.,9.7,"Pleasant, clean, spacious rooms and tasty breakfast",2020-01-24,1
1743116909-940,Norma H.,6.6,"Room linen smells musty, lots of mosquitoes.",2020-01-22,3
1743116909-941,VN,6.0,"Lots of mosquitoes, the room really smells, if you already use the AC okay, just when you enter the room if you smell from outside, everything else is okay.",2020-01-21,3
1743116909-942,A,4.5,"The room is bad, dirty, noisy. The front office and the people around you are not at all friendly. The one whose name should be front office, especially the front person should be friendly! Incidentally at check-in given rooms that are not ready. Must wait a few more minutes. Kapok come here. Don't come here again!",2020-01-21,5
1743116909-943,SS,8.5,Comfortable room but a bit noisy at night because the sound of vehicles passing by was heard from the room.,2020-01-20,0
1743116909-944,R,6.0,"The hotel facilities are good, unfortunately the room we stayed in 301 was noisy because it was next to the kitchen so the rest was not so quiet because the noise from outside was very audible.",2020-01-18,3
1743116909-945,Z,6.0,"I like the rooms, the pool is also good, the service is quite good, but there are things that need to be improved, such as the bathroom door.",2020-01-17,1
1743116909-946,ld,8.4,"the rooms are nice and spacious, but the balcony can be seen the times, some of the waiters are not friendly, parking is not spacious, AC is not cold enough, hotel cleanliness is a bit lacking",2020-01-16,3
1743116909-947,NF,6.4,"Breakfast is quite varied, fried rice is good. The rest are so so. As for the room, the first time I entered the room there was a musty smell like a room made of wood which had not been used for a long time, so I even bought a air freshener to remove the smell, all amenities were ok, there were no slippers, I had requested but until the last day was not given. And for some amenities such as toothbrushes are only given 1 (even though I'm both with my husband) and sometimes have to be asked, many sinks are chipped and not maintained (very unsightly to the eye), hair drayer on the last day suddenly died, food waste overnight was not thrown when asked clean rooms, bed sheets etc. must be discussed first to be replaced then replaced, bed covers have holes and stains, telephone sometimes error and difficult to use, to call the receptionist must be repeated many times. Towels on the last day must be requested and then given. The room is not soundproof, the sound of people stepping is very audible, especially the sound from the upper floor, some staff are not friendly when they meet us, the main lobby tends to be hot because the air conditioner is less pronounced, it seems like a lot needs to be repaired and refurbished, when there is no first entry greeting from the receptionist or from the security in front, the parking lot is very narrow. Honestly for the standard of a 4 star hotel it is far from expectations, and it seems like I will not return to stay there again. A plus for the roptop swimming pool, according to the photos provided the rooms are cleaned every day. Especially for the fairly cold mineral water, for the refrigerator can still be used even if it is not so cold, the bathub is ok according to the photo. Suggestions for those who are going to stay here should be checked into all rooms first, starting from amenities, telephone, toilet, etc., so that if we are uncomfortable, we can find another room (if there are still empty ones), at least Mas the receptionist guard is still kind enough to sweep us to another room if you want to change rooms, and it's better to choose a deluxe. Because for the executive bathub located outside the room so the air feels hotter when soaking and insects from outside can enter.",2020-01-14,2
1743116909-948,Nova A.,10.0,"The rooms are spacious, the breakfast variety continues to change, parking can also be many cars, all hotel staff are friendly. Price is also cheap but can be a very good hotel.",2020-01-14,2
1743116909-949,I,4.8,So scary Just entered the room there were no 30 minutes to decide early CO even though the plan was 3 days. Bad hotel and scary.,2020-01-11,1
1743116909-950,S,9.1,Worth it😍 can be tried👍 fun!,2020-01-10,1
1743116909-951,lr,9.7,"A good hotel, plus when we come to order the deluxe until we get a city suite. The room is spacious there is a balcony too. For breakfast there are also many menu choices. But not trying to swim even though the pool is good too",2020-01-06,0
1743116909-952,am,9.3,"Very comfortable hotel. clean rooms, very large bathrooms. near everywhere, easy access. Cross a little already galeria mall. To the airport only 20 minutes. It's just unfortunate the food is less varied and tastes mostly too salty.",2020-01-04,1
1743116909-953,Maria A. L.,9.1,Stay 2 nights janitor had opened the door of the room. Even though I just knocked but immediately opened the door. The rest is okay.,2020-01-04,0
1743116909-954,FZ,6.0,"Service staff not good as hotel, lots of mosquitoes, translucent walls, very sorry to book here.",2020-01-04,0
1743116909-955,NP,9.4,"Overal is very comfortable to stay here, the bathroom is very comfortable, with the deluxe version already able to bath. The bedroom is cornered but okay is the mattress and blanket.",2020-01-03,1
1743116909-956,Mk,10.0,"His service is satisfying. My sister is very kind, polite, friendly, and welcoming to all the guests. Looking for a cheap place to eat near the back of the hotel, just walk. Enjoy staying at Mega Boutique.",2020-01-03,1
1743116909-957,Agnesya T. G.,6.0,I was billed for a telephone fee even though I didn't use it at all. Then in the room there is a really big thousand feet Suitcase when checking in bring your own bell boy. Don't recommend! Very small parking lot ...,2020-01-02,1
1743116909-958,BN,8.5,"The hotel is good, the food is delicious, it's worth it.",2020-01-01,0
1743116909-959,W,6.0,"2 days staying here the breakfast was really disappointed there was nothing too good even though breakfast at 8 days both at 7.45 am still the same and the menu was not varied, for 2 days the menu was the same. for his room 2 days could not sleep rather scary",2019-12-30,1
1743116909-960,MA,8.8,"Everything is exactly like being photographed, it's really delicious here. Breakfast is also very variant and delicious. Check in and out is fast. joss principal.",2019-12-30,1
1743116909-961,ch,6.0,"1. bathroom is dirty in some parts 2. the room is not impermeable so it is very noisy at night and very disturbing to sleep 3. no menu is available, the fridge is not cold.",2019-12-28,1
1743116909-962,DS,5.7,"Not even checking in was not memorable, the hotel was terrible, the receptionist was not friendly and the other services were bad and not worthy of being called a boutique hotel! Regretted booking from afar and staying long in this hotel.",2019-12-28,1
1743116909-963,Ika A. I.,8.5,"The place is quite comfortable, the location of the roadside hotel is exactly. But input from me to the receptionist to be further improved, cheaper smile 😊",2019-12-28,0
1743116909-964,Ferta I. S.,8.0,"From the front a luxurious hotel exterior appears. Until the parking lot there is no alertness from security to help arrange parking or help carry goods. Entering the lobby at the front desk there were 2 people (men and very old ladies very old) with local guests. It's a turn for foreign guests to be so friendly. There is no FDA staff who helps luggage to the room. (+) luxury room interiors, comfortable and clean rooms, there are bathtubs and refrigerators (although the cold does not work), the breakfast varies only the refill is rather long, close to the Hospital and Mall Bali Galeria (-) the atmosphere of the front rooms and dark hallways, mosquitoes run amok",2019-12-27,2
1743116909-965,PM,10.0,"The rooms are very comfortable and clean, the food is also delicious, the breakfast menu is complete and the service is also friendly, the main thing is you won't regret it if you stay at Mega Boutique",2019-12-23,1
1743116909-966,Natalie S. S.,10.0,"Honeymoon is so much fun with a good welcome, thanks.",2019-12-22,0
1743116909-967,y,6.4,"The bathroom was nice, but the floors were so uneven that my husband's feet bled from the floor. Thank you, the food is lacking in variety and tasteless. There is no bell boy to help carry a suitcase, I carry it myself to push myself to the room. service is not satisfactory, and the room is also noisy, the sound of people talking outside sounds clear, for that price is not worth it.",2019-12-17,2
1743116909-968,LC,8.4,"Bathroom is very big and nice. Rooms are standard, pool is ok, food is mediocre.",2019-12-16,0
1743116909-969,WW,9.7,"The rooms are very spacious, checking in and checking our precedure is also easy, the rooms are clean and the breakfast choices are quite a lot.",2019-12-16,1
1743116909-970,DEARRIL J. M.,6.1,"My room and design I admit is good, but unfortunately the staff are not friendly and the breakfast food is lacking in choices.",2019-12-15,3
1743116909-971,Triya N. Y.,9.1,"Very comfortable hotel, in line with expectations, quiet close to the mall.",2019-12-13,2
1743116909-972,JP,8.8,"In my opinion at that price, a 4-star hotel, access to anywhere is also close. Recommendation for all of you who are looking for cheap 4 star hotels. There is only one drawback in my opinion, the lighting of the room is lacking only small lights ..",2019-12-12,0
1743116909-973,AM,9.7,"This staycation is for honeymoon with husband. Receptionists, security guards, restaurant staff are all friendly. Check-in process is quite fast. My room was upgraded from deluxe to executive with balcony. when he got to the room, the room had been designed honeymoon set shortly thereafter came the staff who brought cake by saying. And what was memorable when the hotel did not provide mukena, Shortly from my contact the receptionist they came to the room to find and lend mukena and prayer rugs for me. They care with their guest. The restaurant menu varies from a large selection of side dishes, white rice, fried rice, kwetiaw, potato cheese and a variety of juice choices. Ice cream and sushi are also available. Spacious swimming pool. with a good view. So comfortable and satisfied swimming. Overall, my husband and I are satisfied. Next back again. Continue to improve for mega boutique hotels.",2019-12-11,0
1743116909-974,DW,8.4,"The room is quite big, the bathroom is bigger, the bathtub is clogged so the water is stagnant, the swimming pool is okay, the gym is okay, the breakfast is a bit the menu but it feels okay and only 9.15 have many empty ones not added anymore because of not asking, because the strategic location of the mall just crosses , to the beach by car for 10 minutes.",2019-12-10,1
1743116909-975,Muhammad N. I.,10.0,"Really love it, just for honeymoon. Complete facilities are just lacking. Very clean. Very comfortable. Really smart. The food is also delicious. Very suitable for honeymoon.",2019-12-08,1
1743116909-976,AH,8.5,"Really enjoyed staying here, with cool rooms.",2019-12-06,1
1743116909-977,NN,5.9,"Not exactly the same in pictures, dark alley.",2019-12-05,0
1743116909-978,PUSVA F.,8.5,"The room is clean, nice, very comfortable, the AC is cold. The bathroom is spacious, next trip to Bali you want to stay here.",2019-12-04,1
1743116909-979,bd,8.8,The room is very nice I have stayed 2 times in the mega hotel. I am happy and family.,2019-12-02,0
1743116909-980,Rizky P.,8.5,"Good, clean hotel, good breakfast, only the sink is noisy no matter what, there is also a motorbike rental in front of the hotel, just ask the security, Near the mall too.",2019-12-01,0
1743116909-981,IM,8.5,"For the hotel, the facilities are very worth it with that price, you can just bathub, the air conditioner is a bit cold, the food is delicious and varied, recommended for the hotel, I just don&#39;t recommend the service of the staff who are not friendly.",2019-12-01,1
1743116909-982,DM,5.8,"This is my first stay at this hotel, but I did not think to come back again, especially for family trips, fortunately yesterday it was only a business trip. When arrived at the hotel at 13:00 welcomed by a receptionist whose experience was not friendly, he immediately said check-in can only be at 14:00, even though he did not ask my name and order what room, at least he first checked the availability of the room, do not direct says everything is full and can&#39;t check in, maybe it&#39;s just the full one for certain room types. Finally, I went out to run my activities, then at 19:00 I returned to the hotel to check in. How shocked, my room was put in a corner, maybe because I ordered it through the application this time, I entered my room inside, and yes you saw the room photos yourself, I was given a room where the conditions actually were that there were some unfavorable parts. And the air conditioner in the room if it feels hot during the day, even though it&#39;s already 16 ° C and the fan is max. The next morning I have breakfast, at 09:00 I arrived at the restaurant, and you know what? So there are some that are already empty, I asked if this will be filled again or not? Continue to answer, check first. And the staff raised the food writing, because it seemed as if it would no longer be refilled, even though there was still an hour left. And after almost 30 minutes some empty food was refilled again, but that was after I complained. Yes that&#39;s my experience staying at this hotel. Will I go back there again? Totally not!",2019-11-30,2
1743116909-983,EM,8.8,"Suitable for honeymooners because the lights are dim. The room is not too big but I ordered a deluxe suite but because it is full upgraded to a junior suite, the bathroom has a large bathtub. But unfortunately the bathroom blower did not work. But overall okay.",2019-11-29,1
1743116909-984,IF,6.5,"I felt it was not satisfying to sleep at Mega Boutique, because the bed was small for a king size, and the food was just ordinary, and also the lights in the room were too dark, the towels were also a bit smelly, and the fridge was not cold either.",2019-11-22,1
1743116909-985,AS,8.5,"Strategic location, spacious rooms, good food. The service is also friendly but there are also some who are not friendly.",2019-11-22,0
1743116909-986,Pricilia R.,9.7,"Staying at Mega Boutique for 3 nights for room service and facilities, it&#39;s just unfortunate that the breakfast menu lacks variations on the menu.",2019-11-21,1
1743116909-987,BF,9.7,"Strategic hotel, comfortable, nice and big bathroom, good breakfast. Comfortable stay here that needs to be improved maybe very small car park.",2019-11-20,1
1743116909-988,RS,9.1,"The hotel is in accordance with the one in the photo, clean, smell good, the food is good, just overall satisfied.",2019-11-19,1
1743116909-989,AVO B. L.,9.7,"Enjoyable stay here, very comfortable, book an executive deluxe room, it&#39;s just a bit dusty on the balcony and bathtub, the food is also delicious, close to Indomaret and the Galeria Mall Bali, overall back again here.",2019-11-17,1
1743116909-990,Cyntia E.,9.7,"Strategic location, clean rooms, friendly staff.",2019-11-17,0
1743116909-991,AI,9.7,"The hotel is comfortable, the access is easy, the food is delicious, the rooms are clean, will come back again when in Bali.",2019-11-15,0
1743116909-992,F,10.0,"The hotel is comfortable, clean, friendly service, access roads everywhere are easy because it is located on the edge of the road, hotel facilities are okay, may leave your belongings in the lobby, the food is delicious.",2019-11-13,3
1743116909-993,TS,8.5,"My experience with family staying at this hotel is very pleasant at an affordable price to get a 4-star hotel and breakfast menu. The staff are friendly, we were helped to carry luggage to the room. Anyway, traveloka boils off. Thank you also mega boutique hotel and resort.",2019-11-13,0
1743116909-994,Putri A. D.,6.5,"The bedroom when it&#39;s very hot because of direct sun exposure. The connecting door and sliding bathroom were not oiled, so it was rather difficult and heavy when opening it. The room air conditioner also suddenly turned itself off, apparently there was a timer, the sink water felt different, when washing my face so it was slippery my soap was hard to disappear. But if you use water from the shower it feels like a doormat like water in general. The pool water is rather salty, one side of the pool glass is cracked. The dining area is also hot, there are places that are not hot, you have to walk to the lounge first. The staff are friendly and the room cleanliness is okay.",2019-11-13,0
1743116909-995,Reizal I. A.,10.0,"Going back to this hotel again will not disappoint, thank you.",2019-11-13,0
1743116909-996,lusia r. a.,10.0,"Always like and comfortable to stay at Mega Boutiqe, it&#39;s the umpteenth time staying here, it&#39;s really good, starting from the food, rooms and employees. Strategic location 😍😍",2019-11-12,0
1743116909-997,Fi,9.4,"The room is exactly like in the photo, breakfast is also varied and tasty. The staff are friendly and the rooms are cleaned every day.",2019-11-11,0
1743116909-998,SD,4.8,"Very devastated, waiters pretentious, ignorant, in the room there is no signal, breakfast food runs out quickly, very unprofessional.",2019-11-11,1
1743116909-999,TG,5.6,"the breakfast menu is not good ... just give one access card so if you want to go out by yourself late at night, it will disturb your roommate to open the door ..",2019-11-11,0
1743116909-1000,PK,10.0,"Overall really good, from the atmosphere, rooms, bathrooms and others. Next will be sure again.",2019-11-11,0
1743116909-1001,EE,9.1,I really enjoyed the hotel and its facilities. It&#39;s just that the crew at the hotel both from the receptionist security guard or restaurant all of them really look dirty and unfriendly. Looks like this hotel does not prioritize hospitality. Though the facilities and rooms are okay.,2019-11-06,4
1743116909-1002,RS,9.4,"The room interior is nice, though somewhat dim. Just for those who stay in the room😁",2019-11-05,0
1743116909-1003,yk,8.5,"You can upgrade the room because you have subscribed here, thank you.",2019-11-05,0
1743116909-1004,LJ,8.5,"The hotel is very nice, the room design is also cool, love it. But there are a number of points that need to be fixed. That is, towels are not available automatically, the bathtub is leaking (all of it holds water), the TV has a little blurry picture. Maybe because the position of the room is on the ground. that&#39;s all, overall the hotel is comfortable and next back again.",2019-11-04,1
1743116909-1005,AY,5.2,"Stay 4 days here AC room is not cold. Narrow parking. Friendly staff are only housekeeping and the pool staff. Not suitable as in the picture especially the restaurant staff are jutek, not friendly, the food is little and moreover the staff admonishes politely with the reason children under 6 years are not included free breakfast even though before the message I had contacted the mega boutique hotel and confirmed it was still free it did not hit the carge. It is true that the review is mostly bed rather than better, poor, for an online hotel cook agent like that is still a favorite partner, hadeh.",2019-10-30,3
1743116909-1006,Junaedi,10.0,"The place is indeed a champion, the price is relatively cheap but a nice 5 star class place, no regrets staying at Mega Boutique, to Bali will definitely stay again here, thanks Mega Boutique.",2019-10-30,1
1743116909-1007,suryanto,9.1,"Good location, like the room design, cool swimming pool.",2019-10-30,0
1743116909-1008,HS,8.8,"The room is very handsome. take the family room yesterday, because trip with parents. the rooms are spacious, clean, the aminities kit is also quite complete. I had stale food in the microwave. complaints, and it&#39;s very quickly handled. Completed with a free letter of apology as well as their responsibility. Great is the point. The parking lot is not big enough, and the security is lacking the initiative to help parking.",2019-10-30,1
1743116909-1009,Dp,8.5,"The hotel room is quite spacious, it&#39;s just that the cooler really doesn&#39;t work at all aka heat, so the drinks I brought were stale the next day.",2019-10-29,2
1743116909-1010,ADI S.,8.5,"Staying at this hotel is gambling, there are people who like and some are disappointed. I personally feel comfortable and satisfied with the servants really. For food 1-5: 4 for cleanliness 1-5: 3 for staff 1-5: 4.",2019-10-29,2
1743116909-1011,AW,10.0,"The breakfast is delicious, rather kumplit at that price, the room is full of glass, the wife is happy and there is a bathtub at that price. Very good",2019-10-28,1
1743116909-1012,ersa v.,8.5,"Cool accommodations, friendly prices, get more breakfast, there&#39;s a bathtub too, just a happy family.",2019-10-28,0
1743116909-1014,YI,5.5,The hotel is more like a 2 star or. 3. the food is also perfunctory.,2019-10-27,0
1743116909-1015,suryanto,9.1,Like the concept of a room suitable for those who want a honeymoon. Opposite the Galeria Mall Bali. The location at Bypass is close to the airport too.,2019-10-26,0
1743116909-1016,KA,10.0,"The rooms are comfortable cleaned every day, top.",2019-10-24,1
1743116909-1017,NS,8.8,"The hotel is nice, the rooms are spacious, it&#39;s just that the AC is not cold enough in the room I ordered.",2019-10-23,0
1743116909-1018,Suriansyah P.,7.0,"Can a welcome drink sit on the couch, the front of the pool has not been finished drinking orange juice has requested gelassnya. Poor service. I have stayed 2 times here which was my first good experience. Clean rooms are recommended for those who want to stay here. Breakfast is delicious, complete.",2019-10-23,1
1743116909-1019,SV,8.4,"Just like the Grand Mega Resort &amp; Spa Hotel, the hotel is spacious bathroom, large bathtub, great. It&#39;s just that many breakfast foods are gone but long replenished, good service, good CS. Stay improved in the restaurant only. Oh yes, the fridge in room 504 isn&#39;t very good, the smell of rotten fruit, it should be able to be filled with refrigerator fragrances or serviced so that the refrigerator is comfortable to use.",2019-10-22,0
1743116909-1020,YI,5.9,More suitable 2 star than 4 star. Food is very small and tastes perfunctory even though bought at a 4 star price. The rooms are also no ventilation and no view. Only helped because the room is quite spacious and the bathroom is good. Come with a baby and lots of luggage but there is no concierge in place.,2019-10-20,1
1743116909-1021,OO,6.2,"the ceiling has leaky stains, the fridge smells and doesn&#39;t work, the refill amenities are incomplete, the main sensor door is broken, the parking lot is lacking, there is no tolerance check out ... apart from that everything is ok ... the bathub is a plus.",2019-10-19,0
1743116909-1022,al,6.0,"On average the clerk was ignorant and I got a room very close to the restaurant where it was very noisy because it was also close to the pantry. In addition, officers are also very noisy so that it disturbs comfort.",2019-10-19,1
1743116909-1023,AY,9.7,"The bathroom is cool, the food is delicious and the breakfast variations are quite a lot, the fried rice is a must try. The most important thing is the rooftop pool at the bar, cool.",2019-10-19,1
1743116909-1024,Jeremy W.,6.5,"All dirty, just a suggestion. Buildings and facilities are diligently cleaned. Because the hall is open with outside air. So vulnerable to dust.",2019-10-19,1
1743116909-1026,YI,6.8,"For the price of 600 thousand, it&#39;s not worth it. Potluck breakfast, a little employee etc.",2019-10-17,0
1743116909-1027,CD,7.0,"First enter, the pillow smells really musty, the AC is not cold. slow service. Request clean room, just an hour later. It just doesn&#39;t suit the 4 star. The most unpleasant thing, the pillow smells really bad. Like the smell of sweat after playing football.",2019-10-17,1
1743116909-1028,EM,8.5,"The room is comfortable, clean, the bathroom is also very spacious. good breakfast and lots of menus. Recommended.",2019-10-17,0
1743116909-1029,EB,8.8,"The room is good, only the food is not good.",2019-10-16,0
1743116909-1030,rika r. p.,9.7,Thank you for preparing our honeymoon room 😊,2019-10-16,2
1743116909-1031,lt,5.9,My room was on the 4th floor with a small balcony next to the house next door. There was the noise of dogs chasing and vehicles on the highway. Dark room. Brackish bath water so it feels slippery. Smelly towels.,2019-10-15,0
1743116909-1032,DD,6.0,"The service is less friendly, and the room lights are dim, not like the photos.",2019-10-14,1
1743116909-1033,fb,9.7,"Incredible this hotel, everything requaskan. So, we are deluxe upgraded to premium, so I forget the name. Good food, complete facilities, clean hotel, really comfortable for quality time with my husband and enjoy the hotel atmosphere. Satisfied staying here, I want to feel like it back",2019-10-13,1
1743116909-1034,bagja p.,8.5,"Very happy to be able to stay at the Mega Boutiqe hotel with my wife, a comfortable hotel and good food. Book a hotel with no trouble with my online agent, I booked a junior suite room, the bathroom is spacious and nice.",2019-10-13,0
1743116909-1035,Megawati C.,8.8,Suitable for honeymoon. The food is pretty good and the rate is pretty cheap😄,2019-10-12,0
1743116909-1036,DF,6.0,Dirty room. Sheets and pillowcases are dirty. The pillow smells rancid. the sink is still dirty. Everything is dirty here.,2019-10-11,3
1743116909-1037,MD,6.1,The breakfast menu is less varied.,2019-10-10,0
1743116909-1038,Ya,6.0,"Lots of mosquitoes, lizards, cockroaches in the room.",2019-10-09,0
1743116909-1039,Afriyul Z.,6.4,"The room was good, but it was too dark and early in the morning it sounded noisy people were cooking to the room.",2019-10-09,1
1743116909-1040,Af,6.2,"For breakfast, often have to wait because it runs out. Although the choice of food is quite a lot.",2019-10-08,0
1743116909-1041,LD,9.7,"This is the hotel that I recommend for those who want to go on vacation to Bali, the access is good, the rooms are really nice, use a hotel ⭐5 and then make the breakfast delicious, honestly I like the cake.",2019-10-07,0
1743116909-1042,AW,6.5,"The only problem is that the room&#39;s cleanliness is very lacking, such as poorly maintained rooms, all dusty cofee makers are also dusty with lots of stubborn floors, rooms are also dark even though all lights are lit, corridors are dark and there are lots of cobwebs, air conditioners are also dusty, beyond my expectations, pool etc okay. Accordingly, the gym room is very small.",2019-10-07,0
1743116909-1043,S,9.1,"The hotel is not big, the lights are dim, suitable for those who want a honeymoon. It&#39;s just the noise of animals and vehicles in the entrance to the room.",2019-10-03,1
1743116909-1044,rf,6.4,Order deluxe but given junior. Though paying deluxe type. But overall the room is good.,2019-10-03,0
1743116909-1045,AK,10.0,Anyway cool and the facilities are really okay.,2019-10-02,1
1743116909-1046,NR,6.9,Poor service for breakfast.,2019-10-01,0
1743116909-1047,Anindya R.,9.4,"From the front of the old building, it had an understimate. When you enter the room, especially spacious, luxurious, clean, fragrant and the bathroom is very special.",2019-10-01,2
1743116909-1048,MR,6.1,"The bedroom and bathroom are quite spacious which is unfortunate the rooms don&#39;t smell nice, there are lots of cobwebs, there are cockroaches in the bathroom and bedroom ..",2019-09-30,0
1743116909-1049,HM,6.6,Glass table glass is not strong only in glue. The glue was not strong so it fell easily and almost hit my child. Room 213.,2019-09-27,2
1743116909-1050,NL,8.8,Cozy place and nice breakfast.,2019-09-26,0
1743116909-1051,DN,9.7,will come back here again 😍❤️,2019-09-25,2
1743116909-1052,MD,9.7,"Good hotel, strategic location, breakfast, yes many choices and good.",2019-09-25,0
1743116909-1053,ra,5.2,"Old hotel, with poor maintenance of equipment in the hotel, spooky atmosphere, bathroom door to the direction of the bath tube is very difficult to slide should be as strong as possible, the sink is really dirty like dirty many black brown and pocel stains .. the lights in the bathroom are impermeable blinked until dizzy already complained from the first day but said tomorrow just because it&#39;s already mlm, then called again at noon, until I reminded the receptionist it turned out that after I was at night, it hadn&#39;t been replaced yet ... yeah even though the officer came to the room and looked. breakfast is ala2 .. food is not varied. but lamar is pretty wide huh .. just just old ...",2019-09-24,1
1743116909-1054,CH,9.6,"The hotel is nice, only the parking lot is small. But there is a vacant lot beside the hotel that can be used as a parking lot too. The room interior is good. The breakfast menu is less varied.",2019-09-24,1
